idx,selected,selection_category,selection_rank,load_stratum,contrast_level,topology_id,topology_name,physical_topology_name,mask_name,mask_family,seed,n_nodes,n_edges,p,edge_json,input_mask_json,input_coupled_parameter_count,input_coupled_edge_count,input_coupled_coord_count,input_parameter_density,input_edge_density,input_coord_density,input_edge_load_gini,input_coord_load_gini,coord_load_distribution,edge_load_distribution,d_rel,d_rel_minus_n_req,comparison_branch_d_rel_min,comparison_branch_d_rel_mean,comparison_branch_d_rel_max,comparison_branch_d_rel_gini,comparison_branch_common_d_rel_min,comparison_branch_common_d_rel_mean,comparison_branch_common_d_rel_max,comparison_branch_common_d_rel_gini,comparison_branch_input_count_min,comparison_branch_input_count_mean,comparison_branch_input_count_max,comparison_branch_input_count_gini,comparison_branch_input_overlap_min,comparison_branch_input_overlap_mean,comparison_branch_input_overlap_max,comparison_branch_input_overlap_gini,rank_D,effective_rank_D,condition_number_D,condition_number_D_masked,condition_number_D_masked_log,root_tree_count_gini,edge_participation_gini,bottleneck_edge_fraction_095,mean_shortest_path,edge_M_mean,edge_M_gini,edge_overlap_norm_min,edge_overlap_norm_mean,tree_overlap_norm_min,tree_overlap_norm_mean,tree_overlap_norm_gini,diff_overlap_norm_min,diff_overlap_norm_mean,diff_overlap_norm_gini,diff_coord_load_gini,diff_pair_count_sampled,diff_pair_count_possible,diff_pairs_truncated,gamma_no_bias_exact_lcvar,gamma_no_bias_tropical_lcvar,gamma_no_bias_hard_root_lcvar
10,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0010_c200_seed60628,cycle_chords_n6_m20_seed3__prospective_balanced_load_0010_c200_seed60628,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0010_c200_seed60628,prospective_tree_diff_balanced_load,60628,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,18.75,21,0.05666666666666664,40,40.0,40,0.0,16,18.75,21,0.05666666666666664,19,15.898610432389086,3.550238802485174,3.757030262297942,0.574844693252385,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.2,0.234375,0.8421052631578947,0.9609339576592469,0.019813637479515478,0.914308176100629,0.9595484999275944,0.00911188970272625,0.018253698948398123,79096,79096,False,,,
11,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0011_c200_seed60629,cycle_chords_n6_m20_seed3__prospective_balanced_load_0011_c200_seed60629,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0011_c200_seed60629,prospective_tree_diff_balanced_load,60629,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,18.0,20,0.04166666666666674,40,40.0,40,0.0,16,18.0,20,0.04166666666666674,19,15.898610432389086,3.550238802485174,3.36801529522463,0.5273740551009412,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.1,0.225,0.8307692307692308,0.9590098492824198,0.020049798575245026,0.9220617916472598,0.9639180127159767,0.007491623481134191,0.014247046191000257,79096,79096,False,,,
12,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0012_c200_seed60630,cycle_chords_n6_m20_seed3__prospective_balanced_load_0012_c200_seed60630,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0012_c200_seed60630,prospective_tree_diff_balanced_load,60630,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,17.75,19,0.03873239436619724,40,40.0,40,0.0,16,17.75,19,0.03873239436619724,19,15.898610432389086,3.550238802485174,3.7172578639972693,0.5702226888941395,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.221875,0.868421052631579,0.9700291214198901,0.01727273286690778,0.8889923924856389,0.9551806287245611,0.01028692462798042,0.01611539725483002,79096,79096,False,,,
13,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0013_c200_seed60631,cycle_chords_n6_m20_seed3__prospective_balanced_load_0013_c200_seed60631,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0013_c200_seed60631,prospective_tree_diff_balanced_load,60631,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,20.0,22,0.043749999999999956,40,40.0,40,0.0,18,20.0,22,0.043749999999999956,19,15.898610432389086,3.550238802485174,3.6446096970742907,0.561651026348687,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.2,0.25,0.8923076923076924,0.9619430721367249,0.01771792940769945,0.9301100628930817,0.9644898694887617,0.007150631853839018,0.013722983920273935,79096,79096,False,,,
14,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0014_c200_seed60632,cycle_chords_n6_m20_seed3__prospective_balanced_load_0014_c200_seed60632,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0014_c200_seed60632,prospective_tree_diff_balanced_load,60632,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,17.75,20,0.045774647887323994,40,40.0,40,0.0,16,17.75,20,0.045774647887323994,19,15.898610432389086,3.550238802485174,3.714047717546028,0.569847479192077,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.1,0.221875,0.8125,0.9620142765308874,0.023027892970907793,0.9222420989862851,0.9587651707340633,0.007832408639223187,0.015885206499143933,79096,79096,False,,,
15,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0015_c200_seed60633,cycle_chords_n6_m20_seed3__prospective_balanced_load_0015_c200_seed60633,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0015_c200_seed60633,prospective_tree_diff_balanced_load,60633,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,13,18.25,24,0.13356164383561642,40,40.0,40,0.0,13,18.25,24,0.13356164383561642,19,15.898610432389086,3.550238802485174,3.5243466707113,0.5470786210146894,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.228125,0.8625,0.9790503073782985,0.014258519009172188,0.9206917113893858,0.9557524407081601,0.008798812806812606,0.015508032220591828,79096,79096,False,,,
16,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0016_c200_seed60634,cycle_chords_n6_m20_seed3__prospective_balanced_load_0016_c200_seed60634,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0016_c200_seed60634,prospective_tree_diff_balanced_load,60634,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,20.0,22,0.03750000000000009,40,40.0,40,0.0,18,20.0,22,0.03750000000000009,19,15.898610432389086,3.550238802485174,3.64184942714721,0.5613219858545866,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.15,0.25,0.8421052631578947,0.9685382081632875,0.0191607486108738,0.9068574836016696,0.9610063026422552,0.008337235154466827,0.01548829557960385,79096,79096,False,,,
17,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0017_c200_seed60635,cycle_chords_n6_m20_seed3__prospective_balanced_load_0017_c200_seed60635,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0017_c200_seed60635,prospective_tree_diff_balanced_load,60635,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,17,19.75,23,0.06012658227848111,40,40.0,40,0.0,17,19.75,23,0.06012658227848111,19,15.898610432389086,3.550238802485174,3.0915752322081533,0.4901798193405768,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.1,0.246875,0.8875,0.9715421971709374,0.01647099005561614,0.912814895947426,0.9578610518912724,0.00883012189798027,0.011487623043531459,79096,79096,False,,,
18,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0018_c200_seed60636,cycle_chords_n6_m20_seed3__prospective_balanced_load_0018_c200_seed60636,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0018_c200_seed60636,prospective_tree_diff_balanced_load,60636,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,16,19.25,22,0.06168831168831179,40,40.0,40,0.0,16,19.25,22,0.06168831168831179,19,15.898610432389086,3.550238802485174,3.4375830154405835,0.5362531949001152,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.05,0.240625,0.8842105263157894,0.9676224072233603,0.018192411778539697,0.9216457960644007,0.9596993429312551,0.00815512564239329,0.017587620750794786,79096,79096,False,,,
19,0,,,balanced_load,,cycle_chords_n6_m20_seed3__prospective_balanced_load_0019_c200_seed60637,cycle_chords_n6_m20_seed3__prospective_balanced_load_0019_c200_seed60637,cycle_chords_n6_m20_seed3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0019_c200_seed60637,prospective_tree_diff_balanced_load,60637,6,20,20,topologies/cycle_chords_n6_m20_seed3.json,,200,20,20,0.5,1.0,1.0,0.0,0.0,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,200,40,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,40,40.0,40,0.0,18,19.5,21,0.03205128205128216,19,15.898610432389086,3.550238802485174,2.9586327292779724,0.4710910572364873,0.10694444444444429,0.09454166666666675,0.0,1.3333333333333333,10.0,0.0,0.2,0.24375000000000002,0.7625,0.9673686543576466,0.01905569222794501,0.8987734823785126,0.959182080137427,0.00989263523204209,0.013568262411347565,79096,79096,False,,,
