pair_id,arm,base_id,low_role_topology_id,high_role_topology_id,low_role,high_role,tree_count_low,tree_count_high,tree_count_delta,normal_fan_score_low,normal_fan_score_high,normal_fan_score_delta,active_tree_low,active_tree_high,branch_tree_nmi_low,branch_tree_nmi_high,mean_novel_icl_low,mean_novel_icl_high,mean_novel_icl_delta_high_minus_low,best_seed_novel_icl_low,best_seed_novel_icl_high,best_seed_novel_icl_delta_high_minus_low,seed_std_novel_icl_low,seed_std_novel_icl_high,seed_std_novel_icl_delta_high_minus_low,n_trees_total_enum_log_low,n_trees_total_enum_log_high,n_trees_total_enum_log_delta_high_minus_low,normal_fan_score_delta_high_minus_low,normal_fan_active_tree_count_mean_low,normal_fan_active_tree_count_mean_high,normal_fan_active_tree_count_mean_delta_high_minus_low,cross_contrast_effective_rank_mean_low,cross_contrast_effective_rank_mean_high,cross_contrast_effective_rank_mean_delta_high_minus_low,cross_all_supported_effective_rank_low,cross_all_supported_effective_rank_high,cross_all_supported_effective_rank_delta_high_minus_low,decoder_topk_assignment_score_low,decoder_topk_assignment_score_high,decoder_topk_assignment_score_delta_high_minus_low,gamma_exact_lcvar_low,gamma_exact_lcvar_high,gamma_exact_lcvar_delta_high_minus_low
base04_cycle_chords_seed41_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0347_base04_cycle_chords_seed41_rw3434009,mb0381_base04_cycle_chords_seed41_rw1669227,low_normal_fan,high_normal_fan,78.0,78.0,0.0,0.3532119162870548,4.61324931941978,4.260037403132725,59.625,63.125,0.09790659703773483,0.12180466460119255,77.72,82.64,4.920000000000002,87.0,89.8,2.799999999999997,8.863046880164855,6.545105041173902,-2.3179418389909534,1.8920946026904804,1.8920946026904804,0.0,4.260037403132725,59.625,63.125,3.5,8.35060360430428,8.350603604304277,-3.552713678800501e-15,8.35060360430428,8.350603604304277,-3.552713678800501e-15,1.0,1.0,0.0,-3.6428350112666323,-4.333094457231882,-0.6902594459652494
base04_cycle_chords_seed41_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base04_cycle_chords_seed41,mb0331_base04_cycle_chords_seed41_rw5585230,mb0354_base04_cycle_chords_seed41_rw7178112,low_normal_fan,high_normal_fan,72.0,72.0,0.0,-1.4684483833378281,2.4178254002987964,3.8862737836366246,55.625,59.625,0.09298428537759171,0.11316264892742439,81.52000000000001,79.96000000000001,-1.5600000000000023,86.4,87.2,0.7999999999999972,2.6095210288480173,9.03539705823712,6.425876029389102,1.8573324964312685,1.8573324964312685,0.0,3.8862737836366246,55.625,59.625,4.0,8.262537677266003,8.262537677266009,5.329070518200751e-15,8.262537677266003,8.262537677266007,3.552713678800501e-15,1.0,1.0,0.0,-3.006268849562492,-3.5259362807833505,-0.5196674312208587
base05_redundant_paths_seed1_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0475_base05_redundant_paths_seed1_rw4566505,mb0464_base05_redundant_paths_seed1_rw1979299,low_normal_fan,high_normal_fan,82.0,82.0,0.0,0.5037242432650099,4.050410683091034,3.546686439826024,59.25,64.5,0.09620120882188568,0.11517484947108322,93.55999999999999,90.67999999999999,-2.8799999999999955,97.6,99.0,1.4000000000000057,3.4044676529525146,10.36810493774055,6.963637284788036,1.9138138523837167,1.9138138523837167,0.0,3.546686439826024,59.25,64.5,5.25,9.102647298864987,9.102647298864982,-5.329070518200751e-15,9.102647298864987,9.102647298864984,-3.552713678800501e-15,1.0,1.0,0.0,-4.019435316589282,-1.9505002123909143,2.068935104198368
base05_redundant_paths_seed1_armA_02,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0455_base05_redundant_paths_seed1_rw6331647,mb0429_base05_redundant_paths_seed1_rw2766586,low_normal_fan,high_normal_fan,90.0,90.0,0.0,3.339175495818843,6.879477559985576,3.540302064166733,66.5,68.125,0.1076469176235285,0.13549861921158374,96.12,96.35999999999999,0.23999999999998067,97.6,98.6,1.0,0.8726969691708563,1.3937001112147465,0.5210031420438902,1.954242509439325,1.954242509439325,0.0,3.540302064166733,66.5,68.125,1.625,9.210981847615384,9.210981847615384,0.0,9.210981847615383,9.210981847615383,0.0,1.0,1.0,0.0,-2.6206279073351957,-4.671165227044293,-2.0505373197090973
base05_redundant_paths_seed1_armA_03,arm_A_fixed_tree_count_variable_normal_fan,base05_redundant_paths_seed1,mb0471_base05_redundant_paths_seed1_rw2745363,mb0444_base05_redundant_paths_seed1_rw3112337,low_normal_fan,high_normal_fan,78.0,80.0,2.0,-0.24901112660166302,3.274699160944683,3.523710287546346,58.0,62.125,0.09054008125278012,0.11672093087206731,91.36000000000001,95.03999999999999,3.6799999999999784,96.2,97.8,1.5999999999999943,6.497260961359028,2.5342454498331435,-3.9630155115258843,1.8920946026904804,1.9030899869919435,0.010995384301463185,3.523710287546346,58.0,62.125,4.125,8.966546296113718,9.069864793201104,0.10331849708738616,8.966546296113718,9.069864793201102,0.10331849708738439,1.0,1.0,0.0,-4.1659593264596,-3.584573110762554,0.5813862156970457
base05_redundant_paths_seed1_armB_01,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0401_base05_redundant_paths_seed1_rw2474930,mb0455_base05_redundant_paths_seed1_rw6331647,low_tree_count,high_tree_count,77.0,90.0,13.0,3.2315556522193387,3.339175495818843,0.10761984359950416,61.25,66.5,0.11884966093720253,0.1076469176235285,94.32000000000001,96.12,1.7999999999999972,96.4,97.6,1.1999999999999886,2.691022110648667,0.8726969691708563,-1.8183251414778105,1.8864907251724818,1.954242509439325,0.06775178426684314,0.10761984359950416,61.25,66.5,5.25,8.963236268649782,9.210981847615384,0.24774557896560268,8.963236268649784,9.210981847615383,0.24774557896559912,1.0,1.0,0.0,-2.9151004279420163,-2.6206279073351957,0.2944725206068206
base05_redundant_paths_seed1_armB_02,arm_B_variable_tree_count_matched_normal_fan,base05_redundant_paths_seed1,mb0408_base05_redundant_paths_seed1_rw3958626,mb0422_base05_redundant_paths_seed1_rw5618073,low_tree_count,high_tree_count,70.0,82.0,12.0,1.7864624290304016,1.7597991728217748,-0.026663256208626862,56.25,60.375,0.12031685176148091,0.10394742203730994,87.2,93.56,6.359999999999999,96.0,95.6,-0.4000000000000057,9.784068683323927,1.2986146464598338,-8.485454036864093,1.845098040014257,1.9138138523837167,0.06871581236945978,-0.026663256208626862,56.25,60.375,4.125,8.7649532588598,9.102647298864987,0.33769404000518755,8.7649532588598,9.102647298864987,0.33769404000518755,1.0,1.0,0.0,-6.490105043145692,-4.869156737405048,1.6209483057406437
base06_two_module_seed2_armA_01,arm_A_fixed_tree_count_variable_normal_fan,base06_two_module_seed2,mb0535_base06_two_module_seed2_rw5026718,mb0485_base06_two_module_seed2_rw4327906,low_normal_fan,high_normal_fan,50.0,52.0,2.0,-6.691729451683461,-2.195881854685239,4.495847596998222,41.625,46.375,0.07926131378284473,0.10776236516114038,82.8,85.52000000000001,2.720000000000013,94.2,94.8,0.5999999999999943,9.685453009539613,7.564760405987749,-2.1206926035518636,1.6989700043360187,1.7160033436347992,0.01703333929878048,4.495847596998222,41.625,46.375,4.75,8.449182540926865,8.486620686022304,0.03743814509543952,8.449182540926865,8.486620686022304,0.03743814509543952,1.0,1.0,0.0,-3.38162238235444,-2.151891051148526,1.229731331205914
base06_two_module_seed2_armB_01,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0557_base06_two_module_seed2_rw802857,mb0546_base06_two_module_seed2_rw3200844,low_tree_count,high_tree_count,50.0,63.0,13.0,-3.309230843088888,-3.3177870130551677,-0.008556169966279725,44.0,49.0,0.10563192838994187,0.0937350618653407,91.43999999999998,89.0,-2.4399999999999835,98.2,95.2,-3.0,4.861933771659175,5.200000000000004,0.33806622834082845,1.6989700043360187,1.7993405494535817,0.10037054511756294,-0.008556169966279725,44.0,49.0,5.0,8.449182540926861,8.940516450732273,0.49133390980541236,8.449182540926861,8.940516450732272,0.4913339098054106,1.0,1.0,0.0,-1.745450653071351,-1.882568991162983,-0.1371183380916321
base06_two_module_seed2_armB_03,arm_B_variable_tree_count_matched_normal_fan,base06_two_module_seed2,mb0523_base06_two_module_seed2_rw5835889,mb0558_base06_two_module_seed2_rw4778881,low_tree_count,high_tree_count,57.0,69.0,12.0,-1.7486853295547715,-1.686404016911261,0.062281312643510445,48.125,54.375,0.1077150585143148,0.08951644430436553,81.24000000000001,94.83999999999999,13.59999999999998,97.4,97.6,0.19999999999998863,10.567421634438556,1.8863721796082535,-8.681049454830303,1.7558748556724915,1.8388490907372552,0.08297423506476376,0.062281312643510445,48.125,54.375,6.25,8.56860294451822,8.998122421406586,0.4295194768883661,8.56860294451822,8.998122421406586,0.4295194768883661,1.0,1.0,0.0,-2.111063833187075,-4.438668318539923,-2.327604485352848
